H7C5J1,?,IPR011989;IPR016024;,?,"ARMH1,,,,,,,,"
F5GWF8,?,IPR030386;IPR015894;,[GO:0005783];[GO:0005525];[GO:0003924],"ATL3,,,,,,,,"
E7ETI3,?,IPR029553;IPR000421;IPR008979;,[GO:0005887];[GO:0038062],"DDR1,,,,,,,,"
J3KRC8,?,IPR027930;,?,"SPATA33,,,,,,,,"
B7SFZ3,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-G,,,,,,,,"
Q6FGN7,?,IPR027417;IPR005225;IPR001806;IPR003578;,[GO:0005622];[GO:0005525];[GO:0003924];[GO:0007264],"ARHE,,,,,,,,"
Q27I50,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-A,,,,,,,,"
M0R0J6,?,?,?,"ZNF460,,,,,,,,"
A0A0A7C891,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-B,,,,,,,,"
Q6UJZ8,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-A,,,,,,,,"
B7ZKV6,?,IPR023795;IPR023796;IPR000215;IPR036186;,[GO:0005615],"SERPINB13,,,,,,,,"
Q9P0G0,?,IPR008936;IPR000198;,[GO:0007165],",,,,,,,,"
C9JZK8,?,IPR011032;IPR036291;,?,"CRYZL1,,,,,,,,"
C9JUU5,?,IPR004143;IPR004562;,[GO:0009249],"LIPT1,,,,,,,,"
A0A2P9AIR0,?,?,[GO:0016021],"BQ8482_180260,,,,,,,,"
H6UV81,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-C,,,,,,,,"
A0A2P9ALI8,?,?,?,"BQ8482_220161,,,,,,,,"
A0A0E3M2L1,?,IPR024791;IPR033945;IPR000298;IPR035973;IPR013833;,[GO:0016021];[GO:0005739];[GO:0004129];[GO:0019646],"COX3,,,,,,,,"
H7C3W5,?,IPR009644;,?,"FKTN,,,,,,,,"
S4TZG0,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-B,,,,,,,,"
S5DI31,?,IPR007110;IPR036179;IPR013783;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-C,,,,,,,,"
B4DDS9,?,IPR028422;IPR024840;,?,",,,,,,,,"
Q59GE8,?,IPR011993;IPR001849;IPR039360;IPR037773;IPR001562;,[GO:0005622];[GO:0005096];[GO:0005543];[GO:0035556];[GO:0046580],",,,,,,,,"
T1WFC4,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-B,,,,,,,,"
C9J2Q8,?,?,?,"MIS18BP1,,,,,,,,"
A0A0M3LBG5,?,IPR011162;IPR014745;IPR000353;,[GO:0042613];[GO:0019882];[GO:0006955],"HLA-DRB1,,,,,,,,"
Q9Y3S3,?,?,?,"MUC-B1,,,,,,,,"
H0Y2Y8,?,IPR001781;,[GO:0005829];[GO:0005925];[GO:0046872],"ZYX,,,,,,,,"
B2KIU0,?,IPR002240;IPR000355;IPR000276;IPR017452;,[GO:0016021];[GO:0016493];[GO:0006935];[GO:0006955];[GO:0006954],"CCR5,,,,,,,,"
B2RBU9,?,IPR013783;IPR002223;IPR036880;IPR036055;IPR023415;IPR002172;IPR013980;IPR011106;IPR020901;,[GO:0016021];[GO:0008233];[GO:0004867],",,,,,,,,"
H7C5W8,?,IPR026921;IPR002048;IPR018159;IPR002017;,[GO:0051015];[GO:0005509];[GO:0051764];[GO:0051017],"ACTN1,,,,,,,,"
A3RKJ6,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-A,,,,,,,,"
H7C252,?,IPR011990;,?,"IFT172,,,,,,,,"
M9P9M5,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-C,,,,,,,,"
A0A2P9AT43,?,IPR000361;IPR016092;IPR035903;,[GO:0051536];[GO:0005198];[GO:0097428],"BQ8482_400055,,,,,,,,"
F8VXA0,?,IPR026858;,[GO:0016021];[GO:0098609],"VEZT,,,,,,,,"
